,Date,Review_Score,Review_Text
145,"February 25, 2019",5,perfect
146,"February 7, 2019",2,logger meg fullstendig ut hver gang jeg lukker appen! kundeservice vet tydeligvis lite når løsningen som blir foreslått er å sende hele telefonen på reparasjon!
147,"February 11, 2019",5,its ok
148,"February 12, 2019",5,very good!
149,"February 18, 2019",5,good
150,"January 24, 2019",5,"excelent update. i used to ""forget"" to pay invoices due to laziness to enter data feom invoic to app. now its easy eith a picture. please also introduce auto e-factura with mobil."
151,"January 19, 2019",3,"edit; v4.5.5 fungerer bra (etter feilen med 4.5.4) utover dette så er det synd det ikke er noen god søkefunksjon i tidligere betalinger/kontobevegelser, samt ingen utenlandsbetaling. appen burde kumne erstatte desktop versjon med tanke på funksjonalitet"
152,"January 21, 2019",5,dette er et flott program
153,"February 5, 2019",5,funke fjell
154,"January 21, 2019",5,👌
155,"January 19, 2019",5,great
156,"January 18, 2019",1,oppdateringen ødela appen. påstår at jeg ikke har internett.
157,"January 12, 2019",5,det er lettere å logge inn
158,"January 5, 2019",4,"lettvint og oversiktelig. litt rom for forbedring, feks vise saldo etter hver transakjon og ikke kun naavaerende saldo."
159,"December 23, 2018",4,"blir logget ut litt for ofte, men ellers fungerer den bra."
160,"January 8, 2019",5,flott med redesign og bruk av fingerprint.
161,"January 3, 2019",5,bra og enkelt
162,"December 27, 2018",5,veldig bra
163,"January 2, 2019",5,very good
164,"March 25, 2019",5,veldig bra app
165,"November 28, 2018",5,dark mode please. ellers fungerer perfekt!
166,"November 15, 2018",4,"dark background will help user with bright light sensitivity especially in low light situations, particularly in winter time...ease on the eyes"
167,"November 25, 2018",3,helt ok. maser konstant om å få rating på play store.
168,"November 14, 2018",4,"appen var bra den, helt til den sluttet å virke rundt 24.11.16,  får opp logg inn knappen men etter det er det bare bank logoen som kommer opp."
169,"November 1, 2018",4,burde gå ann å betale/overføre til utlandet fra appen
170,"October 21, 2018",5,bra jobb
171,"November 1, 2018",5,praktisk app
172,"October 13, 2018",4,bruker denne masse. det eneste jeg savner er muligheten til å spesifisere perioden en ønsker å se betalinger til forfall. det hadde gjort det lettere å se hva som skal ut av konto frem til neste lønning.
173,"September 21, 2019",1,hva med valutakurs i selve mobilappen og philippine pesos må ihvertfall inkluderes i valuta.
174,"October 9, 2018",5,wery god 😊😊😊😊
175,"October 17, 2018",5,great app!
176,"October 13, 2018",5,wonderful app
177,"September 23, 2018",4,perfekt
178,"September 12, 2018",2,"registrering av brukeren går fint, men ved første innlogging kommer det feilmelding om at brukeren slettes."
179,"September 12, 2018",5,great app
180,"September 7, 2018",4,they just need to add english as a language to get all 5 stars
181,"September 10, 2018",4,it would be great and useful an english version
182,"July 27, 2018",5,"god og enkel app, veldig fint å få oversikt uten å måtte gå gjennom 2fa. 
fornøyd med kombinasjonen med otp-appen."
183,"July 25, 2018",4,"helt grei app. funker somregel utenom de tusen gangene dere har problemer 
med den men utenom er den topo 👍"
