,Date,Review_Score,Review_Text
59,"January 25, 2019",2,"a big step back - you now can't see your balance/latest transactions without having to log in. even the (badly designed) widget demanded to log in afer a day. ... nice to have credit card account listed with other accounts now, but unfortunately it often has issues loading data. give us the choice t...full review"
60,"March 9, 2019",1,"won't even open, crash on launch. i was told to call dnb so i did. their support asked various questions about phone model, android version, system settings. tried uninstall, restart phone, re-install. tried wifi, mobile data. nothing helped. no solution. no error code. just crash on start every tim...full review"
61,"February 9, 2019",1,"prefer the old app in all its simplicity (log-on with pin only - unless security measures now dictate otherwise? no need to carry keygen device to log-in. regrettably telenor charge if using ""bank-id på mobil"".). my requirement is basically to swiftly check balances and eventually equally easily tra...full review"
62,"February 5, 2019",1,"remember the old app, where you could see your bank acct info and not go into a login death-spiral every time you tried to open the app to check your balances? yeah, good times... time to go bank shopping, i guess, because this app feels like an electronic metaphor representing how much dnb values m...full review"
63,"March 10, 2019",1,"this app is just an appified web page that require your pin for public available services. basically it is just a bunch of links. the devs were so lazy they didn't even bother to hide it. the old app was good, this one isn't. any one can make great plans but ""great plans"" are not a product."
64,"February 11, 2019",1,"every time the app starts it jumps past the point where i use my fingerprint and goes into the main menu. but since i haven't logged in it shows an error. i then have to stop the app and open it again. first then do i get to use my fingerprint to log in. other than that, the app is overall quite slo...full review"
65,"February 8, 2019",4,"i really wish it would have the option for you to see you balance without having to log in, as the previous version. otherwise, it's no different than accesing in browser. i'm sure many used it primarily for that purpose, like me. i personally wish i could revert to the old me."
66,"February 7, 2019",1,it is the worst app from bank i ever had.bankid everytime?with new update i do not see my company account and just nothing there. doesnt work and it honestly never worked as normal bank app. look at sparebank or tatra banka(my homecountry bank app).this is just usefull unfotunately.and today i do no...full review
67,"March 11, 2019",1,"having to log in to do absolutely anything is bad enough, even just the currency converter(!), but now you've managed to mess it up even worse! you had a functioning currency converter in the old app, so why the hell would you throw that out completely and have a link to your website instead?! and y...full review"
68,"July 5, 2019",1,still fails to open even after all these months.
69,"January 18, 2019",1,"checks for root and blocks rooted phones. my phone isn't even rooted at the moment and is still blocked. this is absolutely unacceptable and shouldn't exist in 2019. at least just make a form one fills out and consents to that using the app on a rooted device is a risk, and any consequence are your ...full review"
70,"January 23, 2019",2,"basic features as loan overview/ its detail is missing. also the equity investments is not available to see even as quick look for profit and loss. should have option like segregated monthly expenses as in and out, can cluster yearly spendings by month. allow user to have stats for how much money sp...full review"
71,"March 8, 2019",5,"great design.🤗 the previous app had a better design and functionality in the currency calculator🤔 (what's really annoying is to have to press the ""try again"" button several times before the option of a new login is given 🤨) this feature has been corrected since i first wrote the review. now it's ...full review"
