,Date,Review_Score,Review_Text
125,"August 22, 2016",4,i dag kom offisiell android 7 og appen fungerer fortsatt ikke. litt skuffende
126,"August 23, 2016",5,endelig. takker og bukker!!
127,"July 29, 2016",4,kjempefornøyd med appen.
128,"February 11, 2016",4,"appen har blitt veldig bra, og qr innlogging er genial. det er dog et behov for å oppdatere til å bruke ny kamera api da det gamle kamera apiet ikke plukker opp at sensoren på nexus 5x med flere ikke er montert på den mest vanlige måten. resultatet er at kamerabildet er opp ned og speilvendt."
129,"May 22, 2016",3,the app stops working after updating to android n public beta version. please fix.
130,"February 29, 2016",5,"flott, bra dere skjønte at custom rom ofte er sikrere enn gammel utdatert stock rom. appen deres er knall, og vi alle fortjener å benytte den også på moddet telefon :)  tommel opp for at dere lyttet!"
131,"June 29, 2016",1,hvorfor? det er kjedelig at jeg ikke kan oppgradere og i fremtiden ikke kan installere en app jeg har nytte av.
132,"July 17, 2016",3,enkel og brukevennlig app som gjør jobben: 5 stjerner. ber om å se kontaktlista uten gyldig grunn i oppdatering: -2 stjerner.
133,"June 30, 2016",2,"hvorfor trenger siste versjon tilgang til mine kontakter? gi meg banktjenester, slutt å snoke."
134,"November 26, 2015",5,"skandiabanken har gjort en god jobb med denne appen. rask og enkel innlogging, samt godt ui. inntil nylig problematisk at de nektet tilgang fra rootede enheter, men det er altså nå fikset."
135,"March 31, 2016",3,har samsung galaxy s6. appen nekter ofte å logge inn. aksjedelen er ekstremt treg og har ikke rt-kurser selv om de påstår det. ellers er grensesnittet bra.
136,"September 30, 2016",1,"eh, nei. autoupdate skrudd av for denne."
137,"June 17, 2016",3,fungerer ikke på nexus 6p med android n.
138,"January 8, 2016",5,"fungerer som den skal, og den funger bra."
139,"November 24, 2015",5,bruker ikke appen til så mye annet
140,"November 28, 2015",4,beste måten å gå i banken
141,"March 9, 2016",5,really like it . much better than competition
142,"June 24, 2016",4,an english version would be much anticipated.
143,"February 11, 2016",4,fungerer bra
144,"October 12, 2015",5,takk for at dere endret så vi med roota telefoner kan bruke appen igjen. nå slipper jeg nok en gang treg mobilbrowser innlogging! :)
145,"November 2, 2015",1,"can't open it. have a nexus 6. shows ""installed"" in google play store but when i press ""open"" a logo shows but nothing happens. it seems to be loading but it goes on forever without it opening.."
146,"October 28, 2015",5,best thing since sliced bread!
147,"October 30, 2015",5,bra nå som roota telefoner støttes
148,"October 14, 2015",5,"👌det beste banken, lett å bruke 👏"
149,"October 19, 2015",5,veldig stabil app'en👌👍👍
150,"September 27, 2015",4,"hadde vært fint om haptic feedback under pålogging hadde vært valgfritt... det er bare irriterende og unødvendig...synes jeg.. ellers ingen problemer. er det noen fornuftig grunn til at jeg ikke får lov å ta screenshot ? finnes ikke noe historikk på fondssparing, og nå må en logge inn via nettleser ...full review"
151,"September 29, 2015",3,"når man først er inne, så er det en helt middels wrapping av websider. men litt irriterende å måtte starte den to-tre ganger før det virker."
152,"September 10, 2015",2,"appen henger seg  opp og starter ikke,  samsung galaxy s3, hat fungert bra før"
153,"September 18, 2015",4,de har fikset det tullet med root:)
154,"September 9, 2015",4,oppdatert: treghetene er fikset :)
155,"August 5, 2015",5,"logger nesten ikke på nettsidene lenger, og ser at jeg har mye lettere banktilgang enn min samboer som har sparebank 1 (hvor hun av alle ting må bruke en kodebrikke)"
156,"August 5, 2015",4,men ved innlogging får jeg av og til opp et glimt av en melding hvor det står hej... og ett eller annet med tjuven. har resatt telefon og får den fortsatt. hva kommer det av?
157,"August 28, 2015",2,"forsøker å aktivere, men det går så tregt (henger) når jeg forsøker å skrive inn fødselsdato, og jeg får aldri skrevet alle sifrene i første felt. to stjerner fordi jeg har brukt det før på en annen telefon, og likte det."
158,"August 5, 2015",4,nesten mer brukt enn nettsiden for min del. får unnagjort en god del!
159,"September 1, 2015",1,"funker ikke, for treg for å kunne brukes."
160,"August 18, 2015",5,takk!
161,"July 6, 2015",3,"har blitt ganske bra, men blir utrolig provosert over at man blir påtvunget haptic feedback under pålogging. at appen liksom ikke virker på rootede telefoner er kun pga sluttbrukers kompetanseproblem."
162,"June 27, 2015",2,syntes appen var veldig fin. trist at skandiabanken ikke lar appen fungere med root. derfor bare en stjerne. ikke noe forskjell i sikkerhetsnivå.
163,"June 30, 2015",1,blir bare dumt å skylde på root istedenfor å faktisk lage en app som er sikker......
164,"April 30, 2015",1,just recieved a message telling me app will not work on rooted phone from 1st may. time to uninstall app and change banks.
165,"June 8, 2015",1,stopped working some time in may. the phone is not rooted. enjoyed it before that. used to be very convenient.
166,"July 15, 2015",4,veldig fin app. fungerer igjen med rooted telefon uten å måtte skjule root. får bare opp en advarsel. :)
167,"July 21, 2015",1,"får ikke startet aktivering, appen blir treg og henger når jeg kommer til inntasting av mobilnummer og fødselsdato. samsung s6"
168,"June 24, 2015",1,ergo verdiløs for folk som ønsker kontroll over sine enheter ved å kjøre f.eks cyanogenmod.
169,"June 26, 2015",1,suddenly no access if the phone is rooted. time to change banks.
170,"July 2, 2015",1,vet dere hvor mange har root android ? vet dere hvor mye enklere fungerer mobilene? vet dere at største sikkerhet antivirus apper funker fint på root uten noe å si ?
171,"May 23, 2015",4,fikk også melding om at den ikke skulle funke på rootet telefon etter 1. mai. skriver nå 23. mai. funker fint fra rootet telefon :-)
172,"July 31, 2015",1,kommer ikke engang inn i appen på min galaxy s6. treg og henger.
173,"June 27, 2015",1,fungerer ikke lenger. er rootet. håper på en workaround
174,"July 5, 2015",1,fungerer ikke på cyanogen11 med root. tøvete avgjørelse fra skandiabanken.
175,"July 1, 2015",2,dumt å lage en app som ikke virker med root
176,"July 26, 2015",3,det er fint applikasjoner men noen ganger det er dårlig
177,"July 5, 2015",1,fungerer ikke i det hele tatt på cyanogenmod.
178,"June 29, 2015",1,virker ikke lenger pga root.
179,"July 2, 2015",1,virker ikke på cyanogenmod.
180,"June 24, 2015",1,tsk tsk.
181,"July 17, 2015",4,got root?
182,"June 24, 2015",1,root
